"Date","Team","Opponent","Attendance","Result"
"9/29/2018",Penn State,No. 4 Ohio State,110889,L 26–27
"9/14/2002",Penn State,No. 8 Nebraska*,110753,W 40–7
"10/11/2014",Texas A&M,No. 3 Ole Miss,110633,L 20–35
"10/27/2007",Penn State,No. 1 Ohio State,110134,L 17–37
"9/8/2007",Penn State,Notre Dame*,110078,W 31–10
"11/7/2009",Penn State,No. 12 Ohio State,110033,L 7–24
"10/18/2008",Penn State,Michigan,110017,W 46–17
"10/14/2006",Penn State,No. 4 Michigan,110007,L 10–17
"9/9/2017",Penn State,Pittsburgh*,109898,W 33–14
"11/5/2005",Penn State,No. 14 Wisconsin,109865,W 35–14
"11/22/2008",Penn State,No. 17 Michigan State,109845,W 49–18
"10/8/2005",Penn State,No. 6 Ohio State,109839,W 17–10
"9/27/2008",Penn State,No. 22 Illinois,109626,W 38–24
"10/13/2007",Penn State,No. 19 Wisconsin,109574,W 38–7
"10/29/2005",Penn State,Purdue,109467,W 33–15
